SID,correct_response,context,optimal_response,stim_gender,stim_chosen,reward_possible,,,,,mating,neutral,status,
19,39,status,39,f,20,1,,,,,,,,
19,37,status,39,f,20,1,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,37,neutral,37,f,20,5,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,37,status,37,m,20,5,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,37,mating,39,m,20,1,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,39,neutral,39,m,20,1,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,37,mating,37,f,20,5,,,,,,,,
19,39,neutral,39,m,20,1,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,37,mating,39,m,20,1,,,,,,,,
19,37,status,37,m,20,1,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,37,status,37,m,20,5,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,37,mating,39,m,20,5,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,37,status,37,m,20,1,,,,,,,,
19,37,mating,39,m,20,1,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,37,mating,39,m,20,5,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,37,status,37,m,20,5,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,37,status,37,m,20,5,,,,,,,,
19,39,neutral,37,f,20,1,,,,,,,,
19,39,mating,39,m,20,5,,,,,,,,
19,39,mating,37,f,20,5,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,37,mating,39,m,20,5,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,37,neutral,37,f,20,5,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,39,status,39,f,20,1,,,,,,,,
19,37,neutral,37,f,20,1,,,,,,,,
19,39,mating,39,m,20,1,,,,,,,,
19,39,status,39,f,20,5,,,,,,,,
19,37,mating,39,m,20,1,,,,,,,,
24,39,mating,37,m,20,1,,,,,,,,
24,37,status,39,f,20,1,,,,,,,,
24,39,status,39,f,20,5,,,,,,,,
24,39,neutral,39,f,20,5,,,,,,,,
24,37,status,39,f,20,1,,,,,,,,
24,37,neutral,37,m,20,1,,,,,,,,
24,39,status,39,f,20,1,,,,,,,,
24,37,status,37,m,20,1,,,,,,,,
24,39,mating,37,m,20,1,,,,,,,,
24,39,neutral,37,m,20,1,,,,,,,,
24,39,mating,39,f,20,5,,,,,,,,
24,37,neutral,39,f,20,1,,,,,,,,
24,39,mating,39,f,20,5,,,,,,,,
24,39,mating,37,m,20,1,,,,,,,,
24,39,mating,39,f,20,5,,,,,,,,
24,39,neutral,39,f,20,5,,,,,,,,
