"","tagid","FSMI_7_37","FSMI_7_38","FSMI_7_39","FSMI_7_40","FSMI_7_41","FSMI_7_42","K_SRQ_9","K_SRQ_19","K_SRQ_23","mate_seeking","sex_rel"
"118","TAG207",1,1,7,7,7,7,7,7,7,5,7
"119","TAG208",2,3,4,5,3,3,5,5,4,3.33333333333333,4.66666666666667
"120","TAG210",3,3,5,5,4,3,3,5,4,3.83333333333333,4
"121","TAG215",4,5,3,5,3,4,6,5,4,4,5
"122","TAG218",2,3,6,6,6,2,4,3,4,4.16666666666667,3.66666666666667
"123","TAG220",2,2,6,6,6,2,6,2,4,4,4
"124","TAG221",4,5,2,6,4,4,5,4,5,4.16666666666667,4.66666666666667
"125","TAG223",1,2,6,6,5,1,4,3,1,3.5,2.66666666666667
"126","TAG225",1,1,6,6,6,1,3,5,5,3.5,4.33333333333333
"127","TAG238",2,5,4,5,4,3,4,3,4,3.83333333333333,3.66666666666667
"128","TAG243",4,4,3,7,2,1,6,4,6,3.5,5.33333333333333
"129","TAG247",2,2,6,6,6,2,2,2,2,4,2
"130","TAG250",2,2,6,6,6,3,6,5,2,4.16666666666667,4.33333333333333
"131","TAG252",5,2,6,7,6,2,6,6,4,4.66666666666667,5.33333333333333
"132","TAG253",2,2,7,6,6,2,4,2,4,4.16666666666667,3.33333333333333
"133","TAG261",1,1,1,1,5,1,1,1,1,1.66666666666667,1
